timestamp_utc,DHT_temperature,DHT_Humidity,PIR_Motion_state,temperature,humidity,weather_desc,co2_ppm,meeting
2025-07-17 19:49:57,27.0,41.0,False,19,55,Clear sky,131.88,False
2025-07-17 19:50:02,27.0,42.0,False,19,55,Clear sky,131.88,False
2025-07-17 19:50:12,27.0,42.0,True,19,55,Clear sky,131.88,False
2025-07-17 19:50:21,27.0,42.0,True,19,55,Clear sky,131.88,False
2025-07-17 19:50:26,27.0,42.0,False,19,55,Clear sky,131.88,False
2025-07-17 19:50:32,27.0,42.0,False,19,55,Clear sky,131.88,False
2025-07-17 19:50:52,27.0,42.0,False,19,55,Clear sky,131.88,False
2025-07-17 19:51:01,27.0,42.0,True,19,55,Clear sky,131.88,False
2025-07-17 19:53:36,27.0,46.0,True,19,55,Clear sky,131.88,False
2025-07-17 19:53:41,27.0,46.0,False,19,55,Clear sky,131.88,False
2025-07-17 19:53:46,27.0,46.0,False,19,55,Clear sky,131.88,False
2025-07-17 19:53:52,27.0,95.0,False,19,55,Clear sky,131.88,False
2025-07-17 19:53:57,27.0,95.0,False,19,55,Clear sky,131.88,False
2025-07-17 19:54:03,27.0,75.0,False,19,55,Clear sky,131.88,False
2025-07-17 19:54:12,27.0,61.0,True,19,55,Clear sky,131.88,False
2025-07-17 19:54:21,27.0,55.0,True,19,55,Clear sky,131.88,False
2025-07-17 19:54:26,27.0,50.0,False,19,55,Clear sky,131.88,False
2025-07-17 19:54:36,27.0,47.0,True,19,55,Clear sky,131.88,False
2025-07-17 19:54:41,27.0,47.0,False,19,55,Clear sky,131.88,False
2025-07-17 19:54:51,27.0,46.0,True,19,55,Clear sky,131.88,False
2025-07-17 19:55:00,27.0,46.0,True,19,55,Clear sky,131.88,False
2025-07-17 19:55:05,27.0,46.0,False,19,55,Clear sky,131.88,False
2025-07-17 19:55:11,27.0,46.0,False,19,55,Clear sky,131.88,False
2025-07-17 19:55:20,27.0,46.0,True,19,55,Clear sky,131.88,False
2025-07-17 19:55:25,27.0,46.0,False,19,55,Clear sky,131.88,False
2025-07-17 19:57:18,27.0,46.0,True,19,55,Clear sky,131.88,False
2025-07-17 19:57:24,27.0,46.0,False,19,55,Clear sky,131.88,False
2025-07-17 19:57:29,27.0,46.0,False,19,55,Clear sky,131.88,False
2025-07-17 19:59:02,27.0,47.0,True,19,55,Clear sky,131.88,False
2025-07-17 19:59:12,27.0,47.0,True,19,55,Clear sky,131.88,False
2025-07-17 19:59:21,27.0,95.0,True,19,55,Clear sky,131.88,False
2025-07-17 19:59:26,nan,nan,False,19,55,Clear sky,131.88,False
